antecedents,consequents,support,confidence,lift,leverage,conviction
"hawker_present, high_elderly_share, supermarket_present",high_elderly_density,0.1872146118721461,0.6119402985074627,1.7868656716417912,0.08244198411209107,1.6944151738672286
"diverse_food_environment, hawker_present, high_elderly_share",high_elderly_density,0.1872146118721461,0.6119402985074627,1.7868656716417912,0.08244198411209107,1.6944151738672286
"diverse_food_environment, high_elderly_share, supermarket_present",high_elderly_density,0.1872146118721461,0.6119402985074627,1.7868656716417912,0.08244198411209107,1.6944151738672286
"diverse_food_environment, high_elderly_share","high_elderly_density, supermarket_present",0.1872146118721461,0.6119402985074627,1.7868656716417912,0.08244198411209107,1.6944151738672286
high_elderly_density,"diverse_food_environment, high_elderly_share",0.1872146118721461,0.5466666666666666,1.786865671641791,0.08244198411209107,1.53102336825141
high_elderly_density,"hawker_present, high_elderly_share, supermarket_present",0.1872146118721461,0.5466666666666666,1.786865671641791,0.08244198411209107,1.53102336825141
high_elderly_density,"diverse_food_environment, hawker_present, high_elderly_share",0.1872146118721461,0.5466666666666666,1.786865671641791,0.08244198411209107,1.53102336825141
"high_elderly_density, supermarket_present","diverse_food_environment, high_elderly_share",0.1872146118721461,0.5466666666666666,1.786865671641791,0.08244198411209107,1.53102336825141
high_elderly_density,"diverse_food_environment, high_elderly_share, supermarket_present",0.1872146118721461,0.5466666666666666,1.786865671641791,0.08244198411209107,1.53102336825141
"high_elderly_density, rich_accessibility_support, rich_food_access",rich_transit_access,0.0502283105022831,0.6111111111111112,1.7844444444444447,0.022080440357790707,1.690802348336595
"hawker_present, rich_accessibility_support",rich_transit_access,0.1643835616438356,0.6101694915254238,1.7816949152542374,0.07212109839244386,1.6867182846932698
"diverse_food_environment, rich_accessibility_support",rich_transit_access,0.1643835616438356,0.6101694915254238,1.7816949152542374,0.07212109839244386,1.6867182846932698
"hawker_present, rich_accessibility_support, supermarket_present",rich_transit_access,0.1643835616438356,0.6101694915254238,1.7816949152542374,0.07212109839244386,1.6867182846932698
"hawker_present, rich_accessibility_support","rich_transit_access, supermarket_present",0.1643835616438356,0.6101694915254238,1.7816949152542374,0.07212109839244386,1.6867182846932698
"diverse_food_environment, hawker_present, rich_accessibility_support",rich_transit_access,0.1643835616438356,0.6101694915254238,1.7816949152542374,0.07212109839244386,1.6867182846932698
"diverse_food_environment, rich_accessibility_support, supermarket_present",rich_transit_access,0.1643835616438356,0.6101694915254238,1.7816949152542374,0.07212109839244386,1.6867182846932698
"diverse_food_environment, rich_accessibility_support","rich_transit_access, supermarket_present",0.1643835616438356,0.6101694915254238,1.7816949152542374,0.07212109839244386,1.6867182846932698
"poor_accessibility_support, poor_food_access, supermarket_present",poor_transit_access,0.1141552511415525,0.6097560975609756,1.7804878048780488,0.05004065803465316,1.684931506849315
"hawker_present, rich_accessibility_support","diverse_food_environment, high_elderly_share",0.1461187214611872,0.5423728813559322,1.7728307614470025,0.06369758762327725,1.5166582107221376
"high_elderly_density, rich_transit_access","hawker_present, rich_food_access",0.0821917808219178,0.5806451612903226,1.7661290322580647,0.035653968849690375,1.6006322444678611
"high_elderly_density, rich_transit_access","diverse_food_environment, rich_food_access",0.0821917808219178,0.5806451612903226,1.7661290322580647,0.035653968849690375,1.6006322444678611
"rich_food_access, rich_transit_access",high_elderly_share,0.1187214611872146,0.6046511627906976,1.7655813953488373,0.05147932695314944,1.6631748589846895
"rich_food_access, rich_transit_access, supermarket_present",high_elderly_share,0.1187214611872146,0.6046511627906976,1.7655813953488373,0.05147932695314944,1.6631748589846895
